city,country,ID,date,cloudiness,humidity,latitude,longitude,temperature,wind speed
Grand Gaube,MU,934479,1535061600,75,83,-20.01,57.66,69.8,6.93
Albany,AU,2077963,1535063622,0,88,-35.02,117.88,43.27,4.36
Puerto Ayora,EC,3652764,1535061600,75,64,-0.74,-90.35,75.2,17.22
Kavaratti,IN,1267390,1535063623,68,95,10.57,72.64,82.51,16.89
Kuryk,KZ,609919,1535063623,0,65,43.18,51.68,67.66,12.08
Semnan,IR,116402,1535063623,0,71,35.58,53.39,65.77,5.93
Kodiak,US,4407665,1535061180,90,90,39.95,-94.76,71.06,11.41
Mar del Plata,AR,3863379,1535063553,12,50,-46.43,-67.52,46.69,14.88
Cidreira,BR,3466165,1535063533,0,94,-30.17,-50.22,54.07,10.4
San Patricio,MX,3985168,1535060580,40,70,19.22,-104.7,89.6,11.41
Cherskiy,RU,2126199,1535063624,24,78,68.75,161.3,44.71,6.49
Vaini,TO,4032243,1535061600,75,88,-21.2,-175.2,75.2,4.7
Kaka,TM,161901,1535063624,0,67,37.35,59.62,49.93,2.24
Provideniya,RU,4031574,1535061600,90,76,64.42,-173.23,50.0,6.71
Coihaique,CL,3894426,1535061600,40,57,-45.58,-72.07,37.4,5.82
Agasegyhaza,HU,3056391,1535061600,0,100,46.84,19.45,69.8,8.16
Butaritari,KI,2110227,1535063532,88,100,3.07,172.79,84.67,7.72
Yellowknife,CA,6185377,1535061600,90,72,62.45,-114.38,50.0,4.7
Harper,LR,2276492,1535063626,92,100,4.38,-7.71,75.22,7.05
Busselton,AU,2075265,1535063626,48,100,-33.64,115.35,52.63,7.94
Palmer,US,5871146,1535061360,90,93,61.6,-149.11,55.04,2.68
Klaksvik,FO,2618795,1535061000,76,93,62.23,-6.59,48.2,11.41
Chuy,UY,3443061,1535063627,0,94,-33.69,-53.46,49.66,8.39
Rikitea,PF,4030556,1535063627,0,100,-23.12,-134.97,69.19,17.78
Henties Bay,NA,3356832,1535063627,0,100,-22.12,14.28,48.76,3.58
Saint-Philippe,RE,935215,1535061600,90,52,-21.36,55.77,71.6,6.93
Mahebourg,MU,934322,1535061600,75,83,-20.41,57.7,69.8,6.93
Cape Town,ZA,3369157,1535061600,0,87,-33.93,18.42,51.8,5.82
Nikolskoye,RU,546105,1535061600,0,63,59.7,30.79,64.4,13.42
Castro,CL,3896218,1535063628,20,80,-42.48,-73.76,42.37,7.83
Thompson,CA,6165406,1535061600,90,57,55.74,-97.86,48.2,6.93
Medicine Hat,CA,6071618,1535061600,5,17,50.04,-110.68,89.6,6.93
Dingle,IE,2964782,1535063629,92,99,52.14,-10.27,57.67,19.69
Avarua,CK,4035715,1535061600,40,73,-21.21,-159.78,77.0,9.17
Port Alfred,ZA,964432,1535063629,0,100,-33.59,26.89,54.34,3.69
Le Port,RE,935616,1535061600,90,64,-20.94,55.29,71.6,10.29
Tiksi,RU,2015306,1535063630,88,100,71.64,128.87,46.33,11.63
Kencong,ID,1632358,1535063630,12,89,-7.78,112.24,68.56,6.15
Kaitangata,NZ,2208248,1535063630,64,89,-46.28,169.85,47.77,9.4
Atuona,PF,4020109,1535063545,0,100,-9.8,-139.03,79.0,10.63
Hattiesburg,US,4429295,1535062500,1,46,31.33,-89.29,87.98,5.82
Barrow,US,4252975,1535062500,1,51,39.51,-90.4,78.8,6.93
Cabo San Lucas,MX,3985710,1535060700,40,62,22.89,-109.91,86.0,4.7
Hithadhoo,MV,1282256,1535063631,92,100,-0.6,73.08,80.71,4.47
San Vicente,PH,1687428,1535063632,0,99,14.11,122.87,84.22,17.22
Tananger,NO,3134865,1535061000,90,87,58.94,5.59,55.4,3.36
Qasigiannguit,GL,3420768,1535061000,20,70,68.82,-51.19,44.6,8.05
Waipawa,NZ,2185329,1535063546,92,84,-39.94,176.59,46.15,16.67
