Latitudinal Weather Analysis
618 unique cities
Location: Grand Gaube, MU. City ID: 934479
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=grand+gaube,mu

Location: Albany, AU. City ID: 2077963
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=albany,au

Location: Puerto Ayora, EC. City ID: 3652764
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=puerto+ayora,ec

Location: Kavaratti, IN. City ID: 1267390
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kavaratti,in

Location: Kuryk, KZ. City ID: 609919
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kuryk,kz

Location: mys shmidta, ru has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=mys+shmidta,ru

Location: Semnan, IR. City ID: 116402
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=semnan,ir

Location: Kodiak, US. City ID: 4407665
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kodiak,us

Location: Mar del Plata, AR. City ID: 3863379
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=mar+del+plata,ar

Location: Cidreira, BR. City ID: 3466165
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=cidreira,br

Location: San Patricio, MX. City ID: 3985168
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=san+patricio,mx

Location: Cherskiy, RU. City ID: 2126199
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=cherskiy,ru

Location: Vaini, TO. City ID: 4032243
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=vaini,to

Location: Kaka, TM. City ID: 161901
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kaka,tm

Location: Provideniya, RU. City ID: 4031574
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=provideniya,ru

Location: Coihaique, CL. City ID: 3894426
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=coihaique,cl

Location: Agasegyhaza, HU. City ID: 3056391
